ride_id,started_at,ended_at,start_station_name,end_station_name,ride_length,bike_type,costumer_type,ride_duration,ride_month,day_of_week
CA6811F2033C1FAC,10/6/2021 17:50:00,10/6/2021 18:13:00,Clark St & Grace St,DuSable Lake Shore Dr & North Blvd,0:22:55,classic_bike,casual,23,10,Wednesday
C6CC4D6B1010AEB2,10/6/2021 17:50:00,10/6/2021 18:04:00,Ashland Ave & Blackhawk St,Sedgwick St & North Ave,0:14:24,classic_bike,member,14,10,Wednesday
7C945B763CA3B466,10/6/2021 17:51:00,10/6/2021 18:12:00,Spaulding Ave & Armitage Ave,Clark St & Armitage Ave,0:21:41,electric_bike,member,21,10,Wednesday
62A58E96EE89A247,10/6/2021 17:51:00,10/6/2021 17:56:00,University Ave & 57th St,Ellis Ave & 60th St,0:04:35,classic_bike,member,5,10,Wednesday
5BD2CB9981A6E7E5,10/6/2021 17:51:00,10/6/2021 18:05:00,Damen Ave & Chicago Ave,Seeley Ave & Roscoe St,0:13:51,electric_bike,member,14,10,Wednesday
786926D56AF8754B,10/6/2021 17:52:00,10/6/2021 17:56:00,LaSalle Dr & Huron St,Clark St & Elm St,0:04:23,classic_bike,member,4,10,Wednesday
D3BD0AC3B620A628,10/6/2021 17:52:00,10/6/2021 18:11:00,Canal St & Harrison St,McCormick Place,0:19:41,classic_bike,member,19,10,Wednesday
0271C55CCA7B4013,10/6/2021 17:52:00,10/6/2021 18:10:00,Adler Planetarium,Millennium Park,0:17:38,classic_bike,member,18,10,Wednesday
22BA6602487E6286,10/6/2021 17:52:00,10/6/2021 17:58:00,Eckhart Park,Milwaukee Ave & Grand Ave,0:05:04,classic_bike,member,6,10,Wednesday
11B374071568C7A6,10/6/2021 17:53:00,10/6/2021 18:02:00,LaSalle St & Adams St,Orleans St & Hubbard St,0:08:49,classic_bike,member,9,10,Wednesday
474DBE745CDA5369,10/6/2021 17:53:00,10/6/2021 18:04:00,Halsted St & Clybourn Ave,Eckhart Park,0:10:42,classic_bike,member,11,10,Wednesday
1D924E6F87CF0F90,10/6/2021 17:53:00,10/6/2021 18:02:00,Desplaines St & Jackson Blvd,Milwaukee Ave & Grand Ave,0:08:45,classic_bike,member,9,10,Wednesday
C650DF7B0E999364,10/6/2021 17:53:00,10/6/2021 18:10:00,Drake Ave & Montrose Ave,Drake Ave & Montrose Ave,0:16:52,classic_bike,member,17,10,Wednesday
029684666F2EEA1B,10/6/2021 17:53:00,10/6/2021 17:56:00,Christiana Ave & Lawrence Ave,Kedzie Ave & Foster Ave,0:03:30,electric_bike,member,3,10,Wednesday
DE32DFEB1E172BF3,10/6/2021 17:54:00,10/6/2021 18:36:00,DuSable Lake Shore Dr & Belmont Ave,DuSable Lake Shore Dr & Belmont Ave,0:42:21,docked_bike,casual,42,10,Wednesday
